datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,AE,AE,877.276,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,BC,BC,2587.626,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1475.704,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,DPL,EASTON,19.952,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,JC,JC,1853.795,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,ME,ME,1247.930,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PE,PE,3313.935,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2155.293,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PEP,SMECO,263.104,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PL,PLCO,3434.968,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PL,UGI,87.718,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PN,PN,1494.801,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,PS,PS,3799.410,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,MIDATL,RECO,RECO,119.808,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3485.608,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2351.525,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,AEP,AEPKPT,574.690,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,AEP,AEPOPT,4675.079,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,AP,AP,4014.322,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,ATSI,OE,5426.287,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,ATSI,PAPWR,431.275,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,CE,CE,8662.914,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,DAY,DAY,1373.000,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,DEOK,DEOK,2201.127,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RFC,WEST,DUQ,DUQ,1194.107,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,RTO,RTO,RTO,RTO,65833.632,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,SERC,SOUTH,DOM,DOM,7698.630,True
11/1/2015 4:00:00 AM,11/1/2015 12:00:00 AM,SERC,WEST,EKPC,EKPC,1013.748,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,AE,AE,832.201,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,BC,BC,2462.612,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1411.007,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,DPL,EASTON,19.345,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,JC,JC,1770.543,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,ME,ME,1205.680,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PE,PE,3152.881,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2087.400,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PEP,SMECO,247.384,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PL,PLCO,3377.703,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PL,UGI,83.601,True
11/1/2015 5:00:00 AM,11/1/2015 1:00:00 AM,RFC,MIDATL,PN,PN,1446.302,True
