datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,AE,AECO,830.990,False
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3423.578,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2553.850,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPKPT,515.075,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPOPT,5720.879,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,AP,AP,4343.688,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,BC,BC,2655.903,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,CE,CE,8576.590,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,DAY,DAY,1531.900,False
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,DEOK,DEOK,2276.417,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,SERC,SOUTH,DOM,DOM,11779.010,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1519.670,False
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,DUQ,DUQ,1242.675,False
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,DPL,EASTON,18.930,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,SERC,WEST,EKPC,EKPC,1145.157,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,JC,JC,1986.800,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,ME,ME,1374.060,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,ATSI,OE,5590.441,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,OVEC,OVEC,28.000,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,WEST,ATSI,PAPWR,400.068,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,PE,PE,3369.311,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2170.176,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,PL,PLCO,3401.299,False
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,PN,PN,1574.735,True
11/1/2024 4:00:00 AM,11/1/2024 12:00:00 AM,RFC,MIDATL,PS,PS,4246.540,True
