datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,AE,AECO,826.706,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4088.902,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2918.937,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,AEP,AEPKPT,628.670,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6202.954,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,AP,AP,5057.125,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,BC,BC,2719.981,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,CE,CE,9724.630,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,DAY,DAY,1898.000,False
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,DEOK,DEOK,2650.356,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,11437.904,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1547.200,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,DUQ,DUQ,1243.487,False
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,DPL,EASTON,19.845,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,SERC,WEST,EKPC,EKPC,1686.862,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,JC,JC,1899.272,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,ME,ME,1496.816,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,ATSI,OE,6257.818,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,WEST,ATSI,PAPWR,543.869,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PE,PE,3256.371,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2146.245,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PL,PLCO,3782.080,False
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PN,PN,1719.116,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PS,PS,3818.322,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,RECO,RECO,120.435,False
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PEP,SMECO,315.533,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,PL,UGI,98.407,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,AE,VMEU,65.110,True
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RTO,RTO,RTO,RTO,78202.953,False
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,AE,AECO,804.001,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4104.464,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2954.206,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,AEP,AEPKPT,634.022,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6114.571,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,AP,AP,5014.894,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,BC,BC,2659.206,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,CE,CE,9385.073,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,DAY,DAY,1859.000,False
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,DEOK,DEOK,2599.430,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,11242.388,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1505.822,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,DUQ,DUQ,1236.694,False
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,DPL,EASTON,19.721,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,SERC,WEST,EKPC,EKPC,1671.332,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,JC,JC,1830.309,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,ME,ME,1465.666,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,ATSI,OE,6136.130,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,WEST,ATSI,PAPWR,532.588,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PE,PE,3116.727,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2064.430,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PL,PLCO,3707.378,False
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PN,PN,1674.755,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PS,PS,3690.457,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,RECO,RECO,116.168,False
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PEP,SMECO,311.821,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,PL,UGI,94.663,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,AE,VMEU,63.414,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RTO,RTO,RTO,RTO,76645.330,False
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,AE,AECO,789.611,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4137.720,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2920.290,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,AEP,AEPKPT,639.440,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6069.313,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,AP,AP,5040.144,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,BC,BC,2641.365,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,CE,CE,9209.242,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,DAY,DAY,1835.000,False
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,DEOK,DEOK,2563.055,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,11183.362,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1498.692,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,DUQ,DUQ,1219.864,False
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,DPL,EASTON,19.935,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,SERC,WEST,EKPC,EKPC,1696.070,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,JC,JC,1801.864,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,ME,ME,1461.298,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,ATSI,OE,6072.545,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,WEST,ATSI,PAPWR,531.150,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PE,PE,3042.141,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2055.182,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PL,PLCO,3621.761,False
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PN,PN,1648.615,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PS,PS,3619.674,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,RECO,RECO,114.078,False
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PEP,SMECO,313.706,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,PL,UGI,94.609,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,AE,VMEU,62.548,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RTO,RTO,RTO,RTO,75933.274,False
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,AE,AECO,790.477,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4192.103,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2885.976,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,AEP,AEPKPT,652.274,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6064.569,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,AP,AP,5045.846,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,BC,BC,2670.221,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,CE,CE,9100.461,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,DAY,DAY,1829.000,False
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,DEOK,DEOK,2562.111,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,11336.113,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1507.111,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,DUQ,DUQ,1227.190,False
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,DPL,EASTON,20.413,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,SERC,WEST,EKPC,EKPC,1747.786,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,JC,JC,1796.543,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,ME,ME,1468.160,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,ATSI,OE,6087.982,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,WEST,ATSI,PAPWR,530.223,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PE,PE,3041.508,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2069.511,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PL,PLCO,3709.423,False
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PN,PN,1648.926,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PS,PS,3591.573,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,RECO,RECO,113.588,False
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PEP,SMECO,324.352,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,PL,UGI,95.673,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,AE,VMEU,62.427,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RTO,RTO,RTO,RTO,76207.540,False
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,MIDATL,AE,AECO,801.169,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,AEP,AEPAPT,4330.340,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2938.700,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,AEP,AEPKPT,668.113,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6165.803,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,AP,AP,5183.823,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,MIDATL,BC,BC,2793.011,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,CE,CE,9112.708,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,DAY,DAY,1857.000,False
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,DEOK,DEOK,2607.452,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,11692.620,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1561.990,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,WEST,DUQ,DUQ,1251.948,False
