datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,AE,AE,849.077,False
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,BC,BC,2624.072,False
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1505.922,False
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,DPL,EASTON,20.925,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,JC,JC,1886.445,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,ME,ME,1430.081,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PE,PE,3303.442,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2161.229,False
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PEP,SMECO,270.839,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PL,PLCO,3659.217,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PL,UGI,99.482,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PN,PN,1688.889,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,PS,PS,3833.931,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,MIDATL,RECO,RECO,118.942,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3371.310,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2560.009,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPKPT,513.897,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPOPT,4880.254,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,AP,AP,4545.488,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,ATSI,OE,5972.547,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,ATSI,PAPWR,481.040,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,CE,CE,9060.441,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,DAY,DAY,1583.000,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,DEOK,DEOK,2344.408,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RFC,WEST,DUQ,DUQ,1218.716,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,RTO,RTO,RTO,RTO,68858.097,True
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,SERC,SOUTH,DOM,DOM,7893.444,False
11/1/2016 4:00:00 AM,11/1/2016 12:00:00 AM,SERC,WEST,EKPC,EKPC,981.050,False
11/1/2016 5:00:00 AM,11/1/2016 1:00:00 AM,RFC,MIDATL,AE,AE,824.890,False
11/1/2016 5:00:00 AM,11/1/2016 1:00:00 AM,RFC,MIDATL,BC,BC,2558.451,False
11/1/2016 5:00:00 AM,11/1/2016 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1471.024,False
